game_id,run_id,timestamp,language,n_rounds_known,max_rounds,played_rounds,agent1_name,agent1_llm,agent1_personality,agent1_noise_rate,agent1_total_score,agent1_cooperation_rate,agent1_defection_rate,agent1_flipped_count,agent1_flipped_rounds,agent1_strategies,agent1_intended_strategies,agent2_name,agent2_llm,agent2_personality,agent2_noise_rate,agent2_total_score,agent2_cooperation_rate,agent2_defection_rate,agent2_flipped_count,agent2_flipped_rounds,agent2_strategies,agent2_intended_strategies,time_checker_accuracy,rule_checker_accuracy,aggregation_checker_accuracy,llm_name,noise_level,original_game_id
Mistral-7B-Instruct-v0.3__noise00__game_9,10,2026-02-12T08:26:57.058278,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,300,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,selfish,0.0,0,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",1.0,1.0,0.25,Mistral-7B-Instruct-v0.3,0,game_9
Mistral-7B-Instruct-v0.3__noise00__game_11,12,2026-02-12T08:26:59.925697,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",0.9868,0.7143,0.4722,Mistral-7B-Instruct-v0.3,0,game_11
Mistral-7B-Instruct-v0.3__noise00__game_12,13,2026-02-12T08:28:11.783703,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",1.0,0.8571,0.4167,Mistral-7B-Instruct-v0.3,0,game_12
Mistral-7B-Instruct-v0.3__noise00__game_13,14,2026-02-12T08:28:21.226127,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,300,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,selfish,0.0,0,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",1.0,1.0,0.2222,Mistral-7B-Instruct-v0.3,0,game_13
Mistral-7B-Instruct-v0.3__noise00__game_15,16,2026-02-12T08:28:22.122454,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",0.9868,0.7143,0.4444,Mistral-7B-Instruct-v0.3,0,game_15
Mistral-7B-Instruct-v0.3__noise00__game_14,15,2026-02-12T08:28:23.070360,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,80,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,cooperative,0.0,280,0.6667,0.3333,0,,"C,D,D,C,D,D,C,C,C,D,C,C,C,D,C,C,C,C,D,D,C,C,C,D,C,C,C,D,C,C","C,D,D,C,D,D,C,C,C,D,C,C,C,D,C,C,C,C,D,D,C,C,C,D,C,C,C,D,C,C",0.9211,0.5714,0.2222,Mistral-7B-Instruct-v0.3,0,game_14
Mistral-7B-Instruct-v0.3__noise00__game_16,17,2026-02-12T08:29:35.185173,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",1.0,0.8571,0.4167,Mistral-7B-Instruct-v0.3,0,game_16
Mistral-7B-Instruct-v0.3__noise00__game_18,19,2026-02-12T08:29:44.033197,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,88,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,cooperative,0.0,278,0.6333,0.3667,0,,"C,D,D,D,C,D,D,D,D,D,C,C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C","C,D,D,D,C,D,D,D,D,D,C,C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C",0.9868,0.619,0.2222,Mistral-7B-Instruct-v0.3,0,game_18
Mistral-7B-Instruct-v0.3__noise00__game_19,20,2026-02-12T08:29:44.046633,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",0.9737,0.7143,0.5278,Mistral-7B-Instruct-v0.3,0,game_19
Mistral-7B-Instruct-v0.3__noise00__game_17,18,2026-02-12T08:29:47.676276,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,300,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,selfish,0.0,0,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",1.0,1.0,0.2222,Mistral-7B-Instruct-v0.3,0,game_17
Mistral-7B-Instruct-v0.3__noise00__game_20,21,2026-02-12T08:30:55.683411,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",1.0,0.8571,0.4167,Mistral-7B-Instruct-v0.3,0,game_20
Mistral-7B-Instruct-v0.3__noise00__game_21,22,2026-02-12T08:31:06.557260,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,288,0.9333,0.0667,0,,"C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,selfish,0.0,18,0.0333,0.9667,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D",0.9737,1.0,0.0,Mistral-7B-Instruct-v0.3,0,game_21
Mistral-7B-Instruct-v0.3__noise00__game_23,24,2026-02-12T08:31:07.105237,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",0.9868,0.6905,0.5556,Mistral-7B-Instruct-v0.3,0,game_23
Mistral-7B-Instruct-v0.3__noise00__game_22,23,2026-02-12T08:31:09.822212,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,8,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,cooperative,0.0,298,0.9667,0.0333,0,,"C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",1.0,0.5476,0.1667,Mistral-7B-Instruct-v0.3,0,game_22
Mistral-7B-Instruct-v0.3__noise00__game_24,25,2026-02-12T08:32:17.393403,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",1.0,0.8571,0.4444,Mistral-7B-Instruct-v0.3,0,game_24
Mistral-7B-Instruct-v0.3__noise00__game_25,26,2026-02-12T08:32:25.986542,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,290,0.8333,0.1667,0,,"C,D,D,D,C,D,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,D,D,D,C,D,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,selfish,0.0,40,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",1.0,1.0,0.0278,Mistral-7B-Instruct-v0.3,0,game_25
Mistral-7B-Instruct-v0.3__noise00__game_26,27,2026-02-12T08:32:29.920736,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,24,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,cooperative,0.0,294,0.9,0.1,0,,"C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C","C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C",1.0,0.5714,0.1667,Mistral-7B-Instruct-v0.3,0,game_26
Mistral-7B-Instruct-v0.3__noise00__game_27,28,2026-02-12T08:32:30.797822,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",0.9868,0.6905,0.5556,Mistral-7B-Instruct-v0.3,0,game_27
Mistral-7B-Instruct-v0.3__noise00__game_28,29,2026-02-12T08:33:50.734923,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",1.0,0.8571,0.4444,Mistral-7B-Instruct-v0.3,0,game_28
Mistral-7B-Instruct-v0.3__noise00__game_31,32,2026-02-12T08:33:52.347014,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",0.9868,0.6905,0.5833,Mistral-7B-Instruct-v0.3,0,game_31
Mistral-7B-Instruct-v0.3__noise00__game_29,30,2026-02-12T08:33:53.295997,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,248,0.1333,0.8667,0,,"C,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D","C,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,selfish,0.0,208,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",0.9737,0.7143,0.1944,Mistral-7B-Instruct-v0.3,0,game_29
Mistral-7B-Instruct-v0.3__noise00__game_30,31,2026-02-12T08:33:59.323346,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,16,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,cooperative,0.0,296,0.9333,0.0667,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,D,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,D,C",0.9868,0.5714,0.2778,Mistral-7B-Instruct-v0.3,0,game_30
Mistral-7B-Instruct-v0.3__noise00__game_32,33,2026-02-12T08:35:13.227895,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,66,0.9667,0.0333,0,,"C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,cooperative,0.0,66,0.9667,0.0333,0,,"C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",1.0,0.8571,0.0833,Mistral-7B-Instruct-v0.3,0,game_32
